SAMPLE,VAR,LOC,VARLOC,AMINOACID,CONCENTRATION
1,Salcedo,Spain,Salcedo-Spain,Aspartic acid,48.23030907
15,Salcedo,Spain,Salcedo-Spain,Aspartic acid,67.13554987
2,Regalona,Spain,Regalona-Spain,Aspartic acid,60.00738552
9,Regalona,Spain,Regalona-Spain,Aspartic acid,45.83975347
10,Titicaca,Spain,Titicaca-Spain,Aspartic acid,10.10479042
17,Titicaca,Spain,Titicaca-Spain,Aspartic acid,22.11489578
4,Salcedo,Chile,Salcedo-Chile,Aspartic acid,25.86206897
11,Salcedo,Chile,Salcedo-Chile,Aspartic acid,20.57926829
12,Regalona,Chile,Regalona-Chile,Aspartic acid,14.84018265
19,Regalona,Chile,Regalona-Chile,Aspartic acid,19.99252616
6,Titicaca,Chile,Titicaca-Chile,Aspartic acid,25.78245254
13,Titicaca,Chile,Titicaca-Chile,Aspartic acid,12.94397199
20,Titicaca,Chile,Titicaca-Chile,Aspartic acid,18.89460154
7,Salcedo,Peru,Salcedo-Peru,Aspartic acid,30.62827225
21,Salcedo,Peru,Salcedo-Peru,Aspartic acid,21.92874693
1,Salcedo,Spain,Salcedo-Spain,Glutamic acid,314.9925224
15,Salcedo,Spain,Salcedo-Spain,Glutamic acid,419.1176471
2,Regalona,Spain,Regalona-Spain,Glutamic acid,334.5642541
9,Regalona,Spain,Regalona-Spain,Glutamic acid,255.9707242
16,Regalona,Spain,Regalona-Spain,Glutamic acid,436.4013059
10,Titicaca,Spain,Titicaca-Spain,Glutamic acid,97.05588822
17,Titicaca,Spain,Titicaca-Spain,Glutamic acid,265.7600407
4,Salcedo,Chile,Salcedo-Chile,Glutamic acid,273.3990148
11,Salcedo,Chile,Salcedo-Chile,Glutamic acid,240.8536585
12,Regalona,Chile,Regalona-Chile,Glutamic acid,253.04414
19,Regalona,Chile,Regalona-Chile,Glutamic acid,323.2436472
6,Titicaca,Chile,Titicaca-Chile,Glutamic acid,435.4155977
13,Titicaca,Chile,Titicaca-Chile,Glutamic acid,249.1245623
20,Titicaca,Chile,Titicaca-Chile,Glutamic acid,352.6349614
7,Salcedo,Peru,Salcedo-Peru,Glutamic acid,187.3036649
21,Salcedo,Peru,Salcedo-Peru,Glutamic acid,163.0835381
1,Salcedo,Spain,Salcedo-Spain,Alanine,79.44915254
