SAMPLE,VAR,LOC,VARLOC,ELEMENT,CONCENTRATION,CONCENTRATION.RSD
1,Salcedo,Spain,Salcedo-Spain,Calcium,925.48,1.48
1,Salcedo,Spain,Salcedo-Spain,Iron,66.84,0.52
1,Salcedo,Spain,Salcedo-Spain,Magnesium,1731.31,2.37
1,Salcedo,Spain,Salcedo-Spain,Phosphorus,3158.01,4.06
1,Salcedo,Spain,Salcedo-Spain,Potassium,8833.66,1.12
1,Salcedo,Spain,Salcedo-Spain,Sodium,16.62,2.53
1,Salcedo,Spain,Salcedo-Spain,Zinc,25.35,2.56
2,Regalona,Spain,Regalona-Spain,Calcium,711.54,1.95
2,Regalona,Spain,Regalona-Spain,Iron,57.25,2.4
2,Regalona,Spain,Regalona-Spain,Magnesium,1994.36,3.73
2,Regalona,Spain,Regalona-Spain,Phosphorus,4298.32,4.88
2,Regalona,Spain,Regalona-Spain,Potassium,11321.75,2.2
2,Regalona,Spain,Regalona-Spain,Sodium,3.31,5.53
2,Regalona,Spain,Regalona-Spain,Zinc,25.41,2.83
3,Titicaca,Spain,Titicaca-Spain,Calcium,993.82,1.37
3,Titicaca,Spain,Titicaca-Spain,Iron,71.58,0.99
3,Titicaca,Spain,Titicaca-Spain,Magnesium,1904.36,4.35
3,Titicaca,Spain,Titicaca-Spain,Phosphorus,3897.8,2.12
3,Titicaca,Spain,Titicaca-Spain,Potassium,15329.17,1.63
3,Titicaca,Spain,Titicaca-Spain,Sodium,18.31,3.09
3,Titicaca,Spain,Titicaca-Spain,Zinc,25.06,1.07
4,Salcedo,Chile,Salcedo-Chile,Calcium,1356.91,0.82
4,Salcedo,Chile,Salcedo-Chile,Iron,83.79,0.34
4,Salcedo,Chile,Salcedo-Chile,Magnesium,2193.39,3.59
4,Salcedo,Chile,Salcedo-Chile,Phosphorus,3167.42,2.2
4,Salcedo,Chile,Salcedo-Chile,Potassium,9858.14,1.1
4,Salcedo,Chile,Salcedo-Chile,Sodium,11.79,1.48
4,Salcedo,Chile,Salcedo-Chile,Zinc,43.59,1.27
5,Regalona,Chile,Regalona-Chile,Calcium,1256.2,2.42
5,Regalona,Chile,Regalona-Chile,Iron,90.62,0.82
5,Regalona,Chile,Regalona-Chile,Magnesium,2243.19,4.33
5,Regalona,Chile,Regalona-Chile,Phosphorus,3330.03,2.47
5,Regalona,Chile,Regalona-Chile,Potassium,13566.28,1.01
5,Regalona,Chile,Regalona-Chile,Sodium,12.02,2.86
5,Regalona,Chile,Regalona-Chile,Zinc,40.64,1.25
6,Titicaca,Chile,Titicaca-Chile,Calcium,577.22,3.26
6,Titicaca,Chile,Titicaca-Chile,Iron,78.34,1.12
6,Titicaca,Chile,Titicaca-Chile,Magnesium,1755.47,5.48
6,Titicaca,Chile,Titicaca-Chile,Phosphorus,2754.08,2.87
6,Titicaca,Chile,Titicaca-Chile,Potassium,9813.26,2.27
6,Titicaca,Chile,Titicaca-Chile,Sodium,5.32,4.09
6,Titicaca,Chile,Titicaca-Chile,Zinc,39.93,1.24
7,Salcedo,Peru,Salcedo-Peru,Calcium,514.72,0.32
7,Salcedo,Peru,Salcedo-Peru,Iron,61.45,1.05
7,Salcedo,Peru,Salcedo-Peru,Magnesium,1927.11,2.54
7,Salcedo,Peru,Salcedo-Peru,Phosphorus,3948.06,1.71
