VARLOC,LOC,VAR,emmean,SE,df,lower.CL,upper.CL,.group,AMINOACID
Regalona-Chile,Regalona,Chile,52.091225235,14.5866770371817,8,0.026613487359626,104.15583698264, ab,Alanine
Regalona-Spain,Regalona,Spain,49.640624255,14.5866770371817,8,-2.42398749264043,101.70523600264, ab,Alanine
Salcedo-Chile,Salcedo,Chile,35.63027529,14.5866770371817,8,-16.4343364576404,87.6948870376404, ab,Alanine
Salcedo-Peru,Salcedo,Peru,33.40856027,14.5866770371817,8,-18.6560514776404,85.4731720176403, ab,Alanine
Salcedo-Spain,Salcedo,Spain,108.87419262,14.5866770371817,8,56.8095808723596,160.93880436764,  b,Alanine
Titicaca-Chile,Titicaca,Chile,65.0244804866666,11.9099719279558,8,22.5139030073888,107.535057965945, ab,Alanine
Titicaca-Spain,Titicaca,Spain,26.35444667,14.5866770371817,8,-25.7101650776404,78.4190584176403, a ,Alanine
Regalona-Chile,Regalona,Chile,213.5948837,32.6068302694159,8,97.2104629048474,329.979304495153, ab,Arginine
Regalona-Spain,Regalona,Spain,308.3563536,32.6068302694159,8,191.971932804847,424.740774395153,  b,Arginine
Salcedo-Chile,Salcedo,Chile,130.5807326,32.6068302694159,8,14.1963118048473,246.965153395153, a ,Arginine
Salcedo-Peru,Salcedo,Peru,182.6729067,32.6068302694159,8,66.2884859048473,299.057327495153, ab,Arginine
Salcedo-Spain,Salcedo,Spain,315.9564784,32.6068302694159,8,199.572057604847,432.340899195152,  b,Arginine
Titicaca-Chile,Titicaca,Chile,119.860831356667,26.6233654298687,8,24.8333497041708,214.888313009162, a ,Arginine
Titicaca-Spain,Titicaca,Spain,171.80147837,32.6068302694159,8,55.4170575748472,288.185899165152, ab,Arginine
Regalona-Chile,Regalona,Chile,12.053702455,3.10898812460953,9,1.3347506969038,22.7726542130962, a,Asparagine
Regalona-Spain,Regalona,Spain,20.0747705333333,2.53847817388858,9,11.3227830717186,28.8267579949481, a,Asparagine
Salcedo-Chile,Salcedo,Chile,14.574728915,3.10898812460953,9,3.8557771569038,25.2936806730962, a,Asparagine
Salcedo-Peru,Salcedo,Peru,10.398764422,3.10898812460953,9,-0.3201873360962,21.1177161800962, a,Asparagine
Salcedo-Spain,Salcedo,Spain,22.483906975,3.10898812460953,9,11.7649552169038,33.2028587330962, a,Asparagine
Titicaca-Chile,Titicaca,Chile,11.4827879256667,2.53847817388858,9,2.73080046405188,20.2347753872815, a,Asparagine
Titicaca-Spain,Titicaca,Spain,8.552163595,3.10898812460953,9,-2.16678816309619,19.2711153530962, a,Asparagine
Regalona-Chile,Regalona,Chile,17.416354405,5.58353691485704,8,-2.51311142944867,37.3458202394487, a  ,Aspartic acid
Regalona-Spain,Regalona,Spain,52.923569495,5.58353691485705,8,32.9941036605513,72.8530353294487,  bc,Aspartic acid
Salcedo-Chile,Salcedo,Chile,23.22066863,5.58353691485705,8,3.29120279555134,43.1501344644487, ab ,Aspartic acid
Salcedo-Peru,Salcedo,Peru,26.27850959,5.58353691485704,8,6.34904375555132,46.2079754244487, ab ,Aspartic acid
Salcedo-Spain,Salcedo,Spain,57.68292947,5.58353691485704,8,37.7534636355513,77.6123953044487,   c,Aspartic acid
Titicaca-Chile,Titicaca,Chile,19.20700869,4.55893880046452,8,2.93466797645671,35.4793494035433, a  ,Aspartic acid
Titicaca-Spain,Titicaca,Spain,16.1098431,5.58353691485704,8,-3.81962273444867,36.0393089344487, a  ,Aspartic acid
Regalona-Chile,Regalona,Chile,288.1438936,56.1396549875022,9,94.5895185401795,481.698268659821, a,Glutamic acid
Regalona-Spain,Regalona,Spain,342.312094733333,45.8378363517577,9,184.275609273387,500.34858019328, a,Glutamic acid
