,VAR,LOC,VARLOC,N,mean,sd,se,ci,variable
1,Regalona,Chile,Regalona-Chile,3,2402.33333333333,465.287366402026,268.633786242742,1155.83789368027,Rendimiento..kg.ha.
2,Regalona,España,Regalona-España,5,2606,0,0,0,Rendimiento..kg.ha.
3,Salcedo,Chile,Salcedo-Chile,3,2743.33333333333,80.1332224070225,46.2649375277266,199.061959745361,Rendimiento..kg.ha.
4,Salcedo,España,Salcedo-España,5,NA,NA,NA,NA,Rendimiento..kg.ha.
5,Salcedo,Peru,Salcedo-Peru,4,5170,142.828568570857,71.4142842854285,227.272125168642,Rendimiento..kg.ha.
6,Titicaca,Chile,Titicaca-Chile,3,4300.33333333333,1841.58799228637,1063.24132308292,4574.75818114514,Rendimiento..kg.ha.
7,Titicaca,España,Titicaca-España,5,1526,0,0,0,Rendimiento..kg.ha.
8,Regalona,Chile,Regalona-Chile,3,70,0,0,0,Días.a.floración
9,Regalona,España,Regalona-España,5,63,0,0,0,Días.a.floración
10,Salcedo,Chile,Salcedo-Chile,3,100,0,0,0,Días.a.floración
11,Salcedo,España,Salcedo-España,5,92,0,0,0,Días.a.floración
12,Salcedo,Peru,Salcedo-Peru,4,65,2.16024689946929,1.08012344973464,3.43743488185831,Días.a.floración
13,Titicaca,Chile,Titicaca-Chile,3,50,0,0,0,Días.a.floración
14,Titicaca,España,Titicaca-España,5,51,0,0,0,Días.a.floración
15,Regalona,Chile,Regalona-Chile,3,165,0,0,0,Días.a.madurez
16,Regalona,España,Regalona-España,5,138,0,0,0,Días.a.madurez
17,Salcedo,Chile,Salcedo-Chile,3,180,0,0,0,Días.a.madurez
18,Salcedo,España,Salcedo-España,5,187,0,0,0,Días.a.madurez
19,Salcedo,Peru,Salcedo-Peru,4,145,0.816496580927726,0.408248290463863,1.29922826362511,Días.a.madurez
20,Titicaca,Chile,Titicaca-Chile,3,105,0,0,0,Días.a.madurez
21,Titicaca,España,Titicaca-España,5,119,0,0,0,Días.a.madurez
22,Regalona,Chile,Regalona-Chile,3,1.3,0.0556776436283,0.032145502536643,0.138310934238456,Altura.planta..m.
23,Regalona,España,Regalona-España,5,1.246,0.051283525619832,0.022934689882359,0.063676907463106,Altura.planta..m.
24,Salcedo,Chile,Salcedo-Chile,3,0.84,0.085440037453175,0.049328828623163,0.212244819130793,Altura.planta..m.
25,Salcedo,España,Salcedo-España,5,1.362,0.059749476985159,0.026720778431775,0.074188774483976,Altura.planta..m.
26,Salcedo,Peru,Salcedo-Peru,4,1.362,0.014399074044303,0.007199537022152,0.0229121399959,Altura.planta..m.
27,Titicaca,Chile,Titicaca-Chile,3,1.04,0.087177978870813,0.050332229568472,0.216562104947161,Altura.planta..m.
28,Titicaca,España,Titicaca-España,5,1.152,0.031144823004795,0.013928388277184,0.038671405455482,Altura.planta..m.
29,Regalona,Chile,Regalona-Chile,3,15.3333333333333,1.52752523165195,0.881917103688197,3.79458303359676,Diámetro.tallo..mm.
30,Regalona,España,Regalona-España,5,14.8,2.28035085019828,1.01980390271856,2.83142955396454,Diámetro.tallo..mm.
31,Salcedo,Chile,Salcedo-Chile,3,11.3333333333333,1.52752523165195,0.881917103688197,3.79458303359676,Diámetro.tallo..mm.
32,Salcedo,España,Salcedo-España,5,16.8,2.77488738510232,1.24096736459909,3.44547776515134,Diámetro.tallo..mm.
33,Salcedo,Peru,Salcedo-Peru,4,18.25,0.5,0.25,0.795611576320927,Diámetro.tallo..mm.
34,Titicaca,Chile,Titicaca-Chile,3,12,1,0.577350269189626,2.48413771175033,Diámetro.tallo..mm.
35,Titicaca,España,Titicaca-España,5,12.2,1.30384048104053,0.58309518948453,1.6189317847087,Diámetro.tallo..mm.
36,Regalona,Chile,Regalona-Chile,3,17,1,0.577350269189626,2.48413771175033,Longitud.panoja..cm.
37,Regalona,España,Regalona-España,5,20,2.54950975679639,1.14017542509914,3.16563447808331,Longitud.panoja..cm.
38,Salcedo,Chile,Salcedo-Chile,3,31.6666666666667,3.51188458428425,2.02758751009941,8.72400493513513,Longitud.panoja..cm.
39,Salcedo,España,Salcedo-España,5,36,2.54950975679639,1.14017542509914,3.16563447808331,Longitud.panoja..cm.
40,Salcedo,Peru,Salcedo-Peru,4,35.5,1.29099444873581,0.645497224367903,2.05426025676052,Longitud.panoja..cm.
